,round,start_seconds,end_seconds,round_duration,ct_eq_val,t_eq_val,is_bomb_planted,bomb_site,past_halftime,de_overpass,de_cache,de_mirage,de_inferno,de_train,de_dust2,de_cbble,de_nuke,PISTOL_ROUND,ECO,SEMI_ECO,NORMAL,FORCE_BUY,t_lethal_nades_eff,ct_lethal_nades_eff,t_util_nades_eff,ct_util_nades_eff,winner_side_class,terrorist_win,counterterrorist_win
74,13,1345.729,1440.589,94.8599999999999,15500,21200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,3,5,1,1,0
75,14,1440.589,1527.544,86.95499999999994,26850,20800,1,-1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6,1,4,-1,0,1
76,15,1527.544,1595.433,67.88900000000011,12850,20000,1,-1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,4,3,-1,1,0
77,17,1686.411,1752.703,66.29199999999993,20800,7400,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,2,1,1,1,0
78,18,1752.703,1873.626,120.92299999999999,25250,1100,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7,0,4,1,0,1
79,19,1873.626,1956.182,82.55600000000005,29650,23600,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,3,4,8,4,1,0,1
80,20,1956.182,2034.293,78.11099999999988,26850,6350,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5,3,4,1,0,1
81,21,2034.293,2121.499,87.2059999999999,29450,24100,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,7,10,12,6,-1,0,1
82,22,2121.499,2185.694,64.19500000000015,5000,26450,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,5,0,-1,1,0
83,23,2185.694,2248.965,63.27100000000018,18850,26350,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,6,2,-1,1,0
84,24,2248.965,2440.704,191.73899999999958,3850,26750,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2,12,8,7,1,1,0
85,25,2440.704,2512.334,71.63000000000011,26900,5200,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5,1,3,1,0,1
86,26,2512.334,2618.982,106.64800000000014,28550,18700,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,4,6,6,-1,0,1
87,27,2618.982,2700.927,81.94500000000015,27600,25000,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,4,11,4,-1,1,0
88,28,2700.927,2749.704,48.77700000000005,4000,21400,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5,0,1,1,0
89,29,2749.704,2835.907,86.20299999999996,29400,9400,1,-1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,3,5,4,-1,0,1
90,1,131.8334,235.4224,103.589,4250,4350,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0
91,2,235.4224,273.9005,38.47810000000001,17150,4200,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,4,0,2,1,0,1
92,3,273.9005,358.8998,84.9993,22300,18800,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,3,3,6,-1,0,1
93,4,358.8998,435.6527,76.75289999999995,22400,24300,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,5,6,3,1,1,0
94,5,435.6527,532.2001,96.54740000000004,32500,19300,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,6,3,5,-1,0,1
95,6,532.2001,628.7006,96.5005,6700,22600,1,-1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,5,1,5,1,-1,1,0
96,7,628.7006,705.8134,77.1128,20500,27300,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,3,5,2,-1,1,0
97,8,705.8134,779.1080000000003,73.2946000000003,5700,26650,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6,10,3,0,-1,1,0
98,9,779.1080000000003,881.8051,102.69709999999976,25450,27250,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,5,6,5,1,1,0
99,10,881.8051,1001.95,120.1449,24150,27300,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,2,5,3,-1,0,1
100,11,1001.95,1138.775,136.82500000000005,19850,25200,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,6,5,4,1,1,0
101,12,1138.775,1237.09,98.31499999999984,25200,9400,1,-1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,31,4,1,-1,0,1
102,13,1237.09,1366.3729999999996,129.2829999999997,13650,27700,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6,0,6,4,1,1,0
103,14,1366.3729999999996,1432.11,65.73700000000032,23400,12800,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,3,2,3,1,0,1
104,15,1432.11,1490.5079999999994,58.397999999999456,26350,15000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,3,4,4,1,0,1
105,16,1524.683,1584.567,59.88400000000002,4250,4450,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1
106,17,1584.567,1700.424,115.85699999999996,19250,7250,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,4,1,0,1
107,18,1700.424,1793.4820000000002,93.0580000000002,25600,1600,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,1,1,0,1
108,19,1793.4820000000002,1906.788,113.3059999999996,28550,23100,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,9,1,8,1,0,1
109,20,1906.788,2030.876,124.0880000000002,21450,20900,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,2,1,0,1
110,21,2030.876,2126.672,95.79600000000003,28950,22900,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,6,3,1,0,1
111,22,2126.672,2225.911,99.23900000000003,23850,15900,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,6,4,1,1,0,1
112,23,2225.911,2366.132,140.221,25050,12500,1,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,5,4,4,-1,0,1
113,24,2366.132,2453.87,87.73799999999983,15750,26450,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,3,1,7,0,-1,1,0
114,25,2453.87,2493.036,39.166000000000174,2200,32250,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,10,3,0,0,-1,1,0
115,26,2493.036,2622.882,129.846,19350,30900,1,-1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5,7,7,4,-1,1,0
116,27,2622.882,2706.786,83.90399999999954,3650,28250,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2,3,6,1,-1,1,0
117,28,2706.786,2797.685,90.89900000000034,28450,27550,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,6,3,3,4,-1,1,0
118,29,2797.685,2896.313,98.62800000000016,17800,28550,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5,6,6,7,-1,1,0
119,30,2896.313,2999.5890000000004,103.27600000000031,15750,30600,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,5,2,3,3,-1,1,0
120,1,131.31,193.8446,62.53460000000001,4250,4300,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,15,1,0,1,0,0
121,2,193.8446,279.2313,85.38669999999995,17850,8150,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,10,2,2,1,0,1
122,3,279.2313,357.6732,78.44190000000003,18900,8200,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,6,3,4,1,0,1
123,4,357.6732,524.7866,167.1134,24250,13350,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,9,4,9,-1,0,1
124,5,524.7866,631.9306,107.14399999999999,4700,23200,1,-1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,3,6,2,-1,1,0
125,6,631.9306,731.5042,99.57359999999994,5750,22750,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7,3,3,3,1,1,0
126,7,731.5042,835.4417,103.9375,27300,22350,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,6,6,3,-1,0,1
127,8,835.4417,928.0547,92.61300000000006,12250,22700,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,4,2,1,1,0
128,9,928.0547,1011.252,83.19729999999993,25700,6000,1,-1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,20,2,5,1,0,1
129,10,1011.252,1124.605,113.35300000000008,26050,9200,1,-1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,7,2,5,-1,0,1
130,11,1124.605,1264.596,139.991,15200,22550,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,6,3,7,3,-1,1,0
131,12,1264.596,1325.1760000000004,60.58000000000038,11550,28450,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,9,2,2,1,1,0
132,13,1325.1760000000004,1462.57,137.39399999999955,29300,17200,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,2,5,4,-1,0,1
133,14,1462.57,1557.139,94.56899999999996,11850,26050,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7,5,5,0,-1,1,0
134,15,1557.139,1630.09,72.95100000000002,9950,26000,1,-1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,6,2,7,6,-1,1,0
135,16,1664.283,1732.886,68.60300000000007,4300,3750,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,1,-1,1,0
136,17,1732.886,1810.249,77.36300000000007,6700,11750,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,3,2,1,-1,1,0
137,18,1810.249,1889.723,79.47399999999993,1900,21050,1,-1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,6,3,5,0,-1,1,0
138,19,1889.723,2018.499,128.77600000000007,23400,25950,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,6,1,11,4,-1,1,0
139,20,2018.499,2076.748,58.24900000000002,3650,27350,1,-1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,6,5,6,0,-1,1,0
140,21,2076.748,2185.894,109.14599999999972,23150,26900,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,4,8,8,5,1,1,0
141,22,2185.894,2300.155,114.26100000000042,30300,16300,1,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,4,8,7,9,-1,0,1
142,23,2300.155,2380.427,80.27199999999993,7450,23550,1,-1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,6,1,8,2,-1,1,0
143,24,2380.427,2474.901,94.47399999999969,19900,29400,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,4,10,5,3,1,1,0
144,25,2474.901,2742.527,267.6260000000002,23700,19050,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,4,10,15,17,1,0,1
145,26,2742.527,2812.428,69.90099999999985,32600,6950,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2,19,1,5,1,0,1
146,27,2812.428,2928.676,116.24800000000003,33800,23950,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,7,6,5,7,1,0,1
147,28,2928.676,3049.459000000001,120.78300000000128,33300,10350,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,6,0,6,1,0,1
148,29,3049.459000000001,3150.08,100.62099999999872,32150,25850,1,-1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5,8,8,9,-1,0,1
149,1,130.8613,200.3261,69.4648,3000,4200,1,-1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,1,1,0,0
150,2,200.3261,280.35,80.02390000000003,16650,1000,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,3,1,0,1
151,3,280.35,382.5418,102.1918,20850,16500,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,8,1,8,-1,0,1
152,4,382.5418,460.5917,78.04989999999998,6100,21650,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,-1,1,0
153,5,460.5917,563.1752,102.58350000000002,23100,25750,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,2,6,6,-1,1,0
154,6,563.1752,664.0355,100.86029999999994,1500,24850,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,0,-1,1,0
155,7,664.0355,900.0496,236.01410000000007,26850,26550,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,9,6,18,1,1,0
156,8,900.0496,990.4289,90.37929999999994,29850,4050,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,7,1,0,1
157,9,990.4289,1070.923,80.4941,30050,25350,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,4,5,7,-1,0,1
158,10,1070.923,1189.22,118.29700000000004,12800,22150,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,3,3,-1,1,0
159,11,1189.22,1258.81,69.58999999999992,21400,21350,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,1,5,5,1,1,0
160,12,1258.81,1402.894,144.08400000000006,25500,18200,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,9,6,9,1,0,1
161,13,1402.894,1479.361,76.4670000000001,26850,3350,1,-1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,8,1,0,1
162,14,1479.361,1607.575,128.21399999999994,32000,28600,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,7,3,8,1,0,1
163,15,1642.636,1747.1470000000006,104.51100000000065,2950,4550,1,-1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,5,1,-1,0,1
164,16,1747.1470000000006,1834.111,86.96399999999949,1000,14200,1,-1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,3,0,-1,1,0
165,17,1834.111,1904.484,70.3729999999998,2300,16850,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,6,0,6,0,-1,1,0
166,18,1904.484,2014.964,110.48000000000002,22550,27550,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,3,2,9,4,1,1,0
167,19,2014.964,2109.886,94.92200000000004,28750,23800,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,4,3,8,4,-1,0,1
168,20,2109.886,2229.17,119.28400000000009,2650,24100,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,7,1,6,0,1,1,0
169,21,2229.17,2314.427,85.25700000000006,30650,3600,1,-1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,5,0,4,1,0,1
170,22,2314.427,2459.2,144.77299999999968,23350,19200,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,3,4,3,9,1,0,1
171,23,2459.2,2502.219,43.019000000000226,29000,5250,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,3,1,0,1
172,24,2502.219,2640.9770000000008,138.75800000000072,32700,26850,1,-1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,4,17,8,10,1,0,1
